Source	pctAl	pctO
Fruehan70	1.39367218	0.004596175
Fruehan70	0.852931006	0.003025143
Fruehan70	0.352343845	0.001354972
Fruehan70	0.068845263	0.000781502
Fruehan70	0.058452525	0.000683607
Fruehan70	0.101744085	0.000682918
Fruehan70	0.150542729	0.000767414
Hayashi08	0.000316175	0.010974626
Hayashi08	0.001177798	0.003560295
Hayashi08	0.007759402	0.00106102
Hayashi08	0.023054272	0.000532499
Hayashi08	0.022668943	0.000473545
Hayashi08	0.019327778	0.001007297
Hayashi08	0.030437829	0.000618918
Hilty50	0.001122472	0.133149491
Hilty50	0.001119811	0.080518335
Hilty50	0.001952261	0.112482879
Hilty50	0.001888742	0.101723959
Hilty50	0.001739801	0.088968397
Hilty50	0.001430121	0.081843268
Hilty50	0.001429329	0.07278008
Hilty50	0.001428877	0.068059157
Hilty50	0.001655193	0.072760645
Hilty50	0.001737188	0.064697491
Hilty50	0.002012973	0.073964509
Hilty50	0.002112692	0.065767946
Hilty50	0.002149284	0.079085669
Hilty50	0.002571601	0.08039657
Hilty50	0.003231624	0.084508728
Hilty50	0.002329404	0.063587825
Hilty50	0.002697712	0.064645675
Hilty50	0.003444728	0.063542554
Hilty50	0.002972787	0.055581304
Hilty50	0.002326641	0.049448328
Hilty50	0.006815549	0.03902655
Hilty50	0.010919185	0.028834975
Hilty50	0.009273049	0.026524121
Hilty50	0.047865964	0.00889288
Hilty50	0.152485036	0.01160463
Hilty50	0.123287113	0.01015189
Hilty50	0.113529141	0.00830297
Hilty50	0.142543235	0.007257735
Hilty50	0.165041873	0.007016526
Hilty50	0.173094404	0.005365122
Hilty50	0.251773715	0.005098457
Hilty50	0.120919902	0.005279364
Hilty50	0.101110017	0.005742895
Hilty50	0.075362527	0.005196057
Hilty50	0.336324838	0.002240855
Hilty50	0.395872008	0.00224019
Hilty50	0.473695179	0.002315827
Hilty50	0.473920141	0.002560914
Hilty50	0.667596303	0.002736846
Hilty50	0.576178552	0.002434422
Hilty50	0.546944999	0.001245016
Hilty50	0.665328528	0.001330902
Janke76	0.000309908	0.004990827
Janke76	0.000415984	0.00609984
Janke76	0.00061511	0.005994151
Janke76	0.000711972	0.005419045
Janke76	0.000923406	0.004580381
Janke76	0.000837299	0.004505028
Janke76	0.000922018	0.003330836
Janke76	0.001101443	0.002421381
Janke76	0.00143284	0.003870248
Janke76	0.001430461	0.00272162
Janke76	0.001827433	0.002958296
Janke76	0.002014088	0.002630231
Janke76	0.001794616	0.002011779
Janke76	0.005897172	0.001877212
Janke76	0.004758555	0.00107992
Janke76	0.005334166	0.001097951
Janke76	0.011433831	0.000498594
Janke76	0.011273016	0.00078408
Janke76	0.015369344	0.000824062
Janke76	0.01750608	0.000783452
Janke76	0.020618625	0.000895644
Janke76	0.023873013	0.000865878
Janke76	0.036453218	0.000769398
Janke76	0.05046426	0.000650247
Janke76	0.063411326	0.000672142
Janke76	0.078317312	0.00056817
